date_obs,date_jd,f_bright,f_spot,f,Bobs
2020-12-11T17:02:23,2459195.21,1.998,0,1.998,9.046
2020-12-11T16:59:31,2459195.208,1.967,0,1.967,8.787
2020-12-20T17:02:23,2459204.21,2.124,0,2.124,8.971
2020-12-20T17:00:57,2459204.209,2.13,0,2.13,8.941
2020-12-20T17:03:50,2459204.211,2.126,0,2.126,8.915
2020-12-13T17:00:57,2459197.209,1.887,0,1.887,8.55
2020-12-13T17:02:23,2459197.21,1.888,0,1.888,8.543
2020-12-13T16:59:31,2459197.208,1.883,0,1.883,8.505
2020-12-30T17:05:16,2459214.212,25.064,0.007,25.071,31.504
2020-12-30T17:02:23,2459214.21,33.422,0.007,33.428,38.374
2020-12-30T17:00:57,2459214.209,37.787,0.005,37.792,42.068
2021-01-15T17:02:23,2459230.21,1.914,0.001,1.915,8.621
2021-01-15T17:05:16,2459230.212,1.919,0.001,1.919,8.635
2021-01-15T17:00:57,2459230.209,1.915,0.001,1.916,8.638
2021-01-15T17:03:50,2459230.211,1.911,0.001,1.912,8.627
2021-01-12T17:05:16,2459227.212,1.757,0,1.757,8.385
2021-01-12T17:02:23,2459227.21,1.76,0,1.76,8.374
2021-01-12T17:00:57,2459227.209,1.754,0,1.754,8.383
