date_obs,f_bright,f_spot,f,Bobs,,,,,
2459404,2.043,0,2.043,8.683,,,,,
2459405,1.966,0,1.966,8.562,,,,,
2459406,1.969,0,1.969,8.593,,,,,
2459407,1.996,0.001,1.997,8.641,,,,,
2459408,2.018,0.001,2.019,8.7,,,,,
2459409,2.113,0.002,2.115,8.809,,,,,
2459411,2.228,0.002,2.23,9.002,,,,,
2459412,2.23,0.002,2.231,9.079,,,,,
2459413,2.273,0.003,2.275,9.208,,,,,
2459414,2.354,0.003,2.358,9.36,,,,,
2459415,2.307,0.002,2.31,9.228,,,,,
2459416,2.245,0.002,2.248,9.106,,,,,
2459417,2.308,0.004,2.312,9.305,,,,,
2459418,2.377,0.002,2.379,9.358,,,,,
2459419,2.58,0.001,2.581,9.632,,,,,
2459420,2.802,0.002,2.804,9.994,,,,,
2459421,3.002,0.001,3.002,10.318,,,,,
2459422,3.076,0,3.077,10.446,,,,,
2459423,3.115,0,3.115,10.384,,,,,
2459424,3.055,0,3.055,10.194,,,,,
2459425,2.856,0,2.856,9.912,,,,,
2459426,2.598,0,2.598,9.516,,,,,
2459427,2.414,0,2.414,9.248,,,,,
2459428,2.17,0,2.17,8.996,,,,,
2459429,2.055,0.001,2.056,8.8762021-08-02T12:00:00,2459429,2.055,0.001,2.056,8.876
