date_obs,date_jd,rv_sun,rv_error,rv_error,rv_sun,rv_error
2021-3-7T12:00:00.00,2459281,-0.639912727,0.0002,0.2,-639.912727,0.2
2021-3-8T12:00:00.00,2459282,-0.639151852,0.0002,0.2,-639.151852,0.2
2021-3-9T12:00:00.00,2459283,-0.641108,0.000236,0.236,-641.108,0.236
2021-4-1T12:00:00.00,2459306,-0.639998182,0.000234545,0.234545,-639.998182,0.234545
2021-4-11T12:00:00.00,2459316,-0.639605455,0.0002,0.2,-639.605455,0.2
2021-4-12T12:00:00.00,2459317,-0.640021818,0.000201818,0.201818,-640.021818,0.201818
2021-4-13T12:00:00.00,2459318,-0.640918519,0.000251852,0.251852,-640.918519,0.251852
2021-4-14T12:00:00.00,2459319,-0.664666667,0.003359259,3.359259,-664.666667,3.359259
2021-4-16T12:00:00.00,2459321,-0.651557407,0.00292963,2.92963,-651.557407,2.92963
2021-4-17T12:00:00.00,2459322,-0.638764151,0.0002,0.2,-638.764151,0.2
2021-4-18T12:00:00.00,2459323,-0.639938889,0.000322222,0.322222,-639.938889,0.322222
2021-4-19T12:00:00.00,2459324,-0.640127273,0.000225455,0.225455,-640.127273,0.225455
2021-4-2T12:00:00.00,2459307,-0.66992069,0.0002,0.2,-669.92069,0.2
2021-4-21T12:00:00.00,2459326,-0.668887097,0.0002,0.2,-668.887097,0.2
2021-4-22T12:00:00.00,2459327,-0.639267273,0.000427273,0.427273,-639.267273,0.427273
2021-4-23T12:00:00.00,2459328,-0.64277037,0.000740741,0.740741,-642.77037,0.740741
2021-4-24T12:00:00.00,2459329,-0.640548148,0.000875926,0.875926,-640.548148,0.875926
2021-4-25T12:00:00.00,2459330,-0.6461125,0.004585417,4.585417,-646.1125,4.585417
2021-4-26T12:00:00.00,2459331,-0.639316364,0.000541818,0.541818,-639.316364,0.541818
2021-4-27T12:00:00.00,2459332,-0.640012727,0.000203636,0.203636,-640.012727,0.203636
2021-4-28T12:00:00.00,2459333,-0.643347273,0.001801818,1.801818,-643.347273,1.801818
2021-4-29T12:00:00.00,2459334,-0.648372222,0.007018519,7.018519,-648.372222,7.018519
2021-4-3T12:00:00.00,2459308,-0.641390566,0.00249434,2.49434,-641.390566,2.49434
2021-4-30T12:00:00.00,2459335,-0.640118519,0.000316667,0.316667,-640.118519,0.316667
2021-4-4T12:00:00.00,2459309,-0.639848148,0.000212963,0.212963,-639.848148,0.212963
2021-4-5T12:00:00.00,2459310,-0.639484211,0.00025,0.25,-639.484211,0.25
2021-4-6T12:00:00.00,2459311,-0.639769091,0.000249091,0.249091,-639.769091,0.249091
2021-4-7T12:00:00.00,2459312,-0.641287273,0.000227273,0.227273,-641.287273,0.227273
2021-5-1T12:00:00.00,2459336,-0.6445,0.0002,0.2,-644.5,0.2
2021-5-10T12:00:00.00,2459345,-0.643041818,0.0002,0.2,-643.041818,0.2
2021-5-11T12:00:00.00,2459346,-0.652730612,0.0002,0.2,-652.730612,0.2
2021-5-12T12:00:00.00,2459347,-0.639414286,0.0002,0.2,-639.414286,0.2
2021-5-13T12:00:00.00,2459348,-0.639109091,0.0002,0.2,-639.109091,0.2
2021-5-14T12:00:00.00,2459349,-0.640107407,0.000201852,0.201852,-640.107407,0.201852
2021-5-15T12:00:00.00,2459350,-0.639459259,0.0002,0.2,-639.459259,0.2
2021-5-16T12:00:00.00,2459351,-0.639077358,0.0002,0.2,-639.077358,0.2
2021-5-17T12:00:00.00,2459352,-0.646461818,0.0002,0.2,-646.461818,0.2
2021-5-18T12:00:00.00,2459353,-0.656981481,0.0002,0.2,-656.981481,0.2
2021-5-19T12:00:00.00,2459354,-5.286640741,1481.335496,1481335.496,-5286.640741,1481335.496
2021-5-2T12:00:00.00,2459337,-13.71756296,4814.335031,4814335.031,-13717.56296,4814335.031
2021-5-20T12:00:00.00,2459355,-0.640831111,0.00026,0.26,-640.831111,0.26
2021-5-21T12:00:00.00,2459356,-0.642231481,0.001051852,1.051852,-642.231481,1.051852
2021-5-23T12:00:00.00,2459358,-0.640365455,0.001794545,1.794545,-640.365455,1.794545
2021-5-24T12:00:00.00,2459359,-0.640188889,0.0002,0.2,-640.188889,0.2
2021-5-25T12:00:00.00,2459360,-0.639909091,0.000203636,0.203636,-639.909091,0.203636
2021-5-26T12:00:00.00,2459361,-0.640253704,0.000201852,0.201852,-640.253704,0.201852
2021-5-27T12:00:00.00,2459362,-0.642022642,0.0002,0.2,-642.022642,0.2
2021-5-28T12:00:00.00,2459363,-0.658856604,0.0002,0.2,-658.856604,0.2
2021-5-29T12:00:00.00,2459364,-0.640685185,0.0002,0.2,-640.685185,0.2
2021-5-3T12:00:00.00,2459338,-0.641201852,0.0002,0.2,-641.201852,0.2
2021-5-30T12:00:00.00,2459365,-0.641137037,0.0002,0.2,-641.137037,0.2
2021-5-31T12:00:00.00,2459366,-0.641666667,0.000668519,0.668519,-641.666667,0.668519
2021-5-4T12:00:00.00,2459339,-0.639342593,0.000205556,0.205556,-639.342593,0.205556
2021-5-5T12:00:00.00,2459340,-0.639473214,0.000203571,0.203571,-639.473214,0.203571
2021-5-6T12:00:00.00,2459341,-0.640496296,0.000385185,0.385185,-640.496296,0.385185
2021-5-7T12:00:00.00,2459342,-0.639412727,0.000376364,0.376364,-639.412727,0.376364
2021-5-8T12:00:00.00,2459343,-0.64514,0.0002,0.2,-645.14,0.2
2021-5-9T12:00:00.00,2459344,-0.658812963,185.1747685,185174.7685,-658.812963,185174.7685
2021-6-1T12:00:00.00,2459367,-0.641227778,0.003953704,3.953704,-641.227778,3.953704
2021-6-10T12:00:00.00,2459376,-0.64352963,0.001711111,1.711111,-643.52963,1.711111
2021-6-11T12:00:00.00,2459377,-0.640372222,0.0002,0.2,-640.372222,0.2
2021-6-12T12:00:00.00,2459378,-0.6401,0.0002,0.2,-640.1,0.2
2021-6-13T12:00:00.00,2459379,-0.640112727,0.000207273,0.207273,-640.112727,0.207273
2021-6-14T12:00:00.00,2459380,-0.644196296,0.000253704,0.253704,-644.196296,0.253704
2021-6-15T12:00:00.00,2459381,-0.642305556,0.0002,0.2,-642.305556,0.2
2021-6-16T12:00:00.00,2459382,-0.63949434,0.0002,0.2,-639.49434,0.2
2021-6-17T12:00:00.00,2459383,-0.639075472,0.0002,0.2,-639.075472,0.2
2021-6-18T12:00:00.00,2459384,-0.639642593,0.0002,0.2,-639.642593,0.2
2021-6-19T12:00:00.00,2459385,-0.639949091,0.0002,0.2,-639.949091,0.2
2021-6-2T12:00:00.00,2459368,-0.639945455,0.0002,0.2,-639.945455,0.2
2021-6-20T12:00:00.00,2459386,-0.639698113,0.0002,0.2,-639.698113,0.2
2021-6-21T12:00:00.00,2459387,-0.639426923,0.0002,0.2,-639.426923,0.2
2021-6-23T12:00:00.00,2459389,-0.639136364,0.0002,0.2,-639.136364,0.2
2021-6-24T12:00:00.00,2459390,-0.639033962,0.0002,0.2,-639.033962,0.2
2021-6-25T12:00:00.00,2459391,-0.639786957,0.000791304,0.791304,-639.786957,0.791304
2021-6-26T12:00:00.00,2459392,-0.635766667,0.000733333,0.733333,-635.766667,0.733333
2021-6-27T12:00:00.00,2459393,-0.637862963,0.000327778,0.327778,-637.862963,0.327778
2021-6-28T12:00:00.00,2459394,-0.634711111,0.009355556,9.355556,-634.711111,9.355556
2021-6-29T12:00:00.00,2459395,-0.639135849,0.000607547,0.607547,-639.135849,0.607547
2021-6-3T12:00:00.00,2459369,-0.637774074,0.000248148,0.248148,-637.774074,0.248148
2021-6-30T12:00:00.00,2459396,-0.638327273,0.0002,0.2,-638.327273,0.2
2021-6-4T12:00:00.00,2459370,-0.638416364,0.000216364,0.216364,-638.416364,0.216364
2021-6-5T12:00:00.00,2459371,-0.639838182,0.000523636,0.523636,-639.838182,0.523636
2021-6-6T12:00:00.00,2459372,-0.645716667,0.001174074,1.174074,-645.716667,1.174074
2021-6-7T12:00:00.00,2459373,-0.639227273,0.0002,0.2,-639.227273,0.2
2021-6-8T12:00:00.00,2459374,-0.640212963,0.0002,0.2,-640.212963,0.2
2021-6-9T12:00:00.00,2459375,-0.635917647,0.0002,0.2,-635.917647,0.2
2021-7-1T12:00:00.00,2459397,-0.609331481,0.0002,0.2,-609.331481,0.2
2021-7-4T12:00:00.00,2459400,-0.5988,0.0002,0.2,-598.8,0.2
2021-7-5T12:00:00.00,2459401,-0.597762963,0.0002,0.2,-597.762963,0.2
2021-7-6T12:00:00.00,2459402,-0.5946,0.0002,0.2,-594.6,0.2
2021-7-7T12:00:00.00,2459403,-0.592351852,0.0002,0.2,-592.351852,0.2
2021-7-8T12:00:00.00,2459404,-0.639542308,0.0002,0.2,-639.542308,0.2
2021-7-9T12:00:00.00,2459405,-0.63982963,0.0002,0.2,-639.82963,0.2
