filename,date_obs,date_jd,rv_sun,rv_error
neidL2_20210207T165609.fits,2/7/21 16:56,2459253.201,-0.6596,2.00E-04
neidL2_20210207T165436.fits,2/7/21 16:54,2459253.2,-0.6596,2.00E-04
neidL2_20210207T165302.fits,2/7/21 16:53,2459253.199,-0.6601,2.00E-04
neidL2_20210207T165129.fits,2/7/21 16:51,2459253.198,-0.6603,2.00E-04
neidL2_20210207T164955.fits,2/7/21 16:49,2459253.197,-0.6585,2.00E-04
neidL2_20210207T164822.fits,2/7/21 16:48,2459253.196,-0.6581,2.00E-04
neidL2_20210207T164649.fits,2/7/21 16:46,2459253.195,-0.6595,2.00E-04
neidL2_20210207T164515.fits,2/7/21 16:45,2459253.194,-0.6596,2.00E-04
neidL2_20210207T164342.fits,2/7/21 16:43,2459253.192,-0.6592,2.00E-04
neidL2_20210207T164208.fits,2/7/21 16:42,2459253.191,-0.6582,2.00E-04
neidL2_20210207T164034.fits,2/7/21 16:40,2459253.19,-0.6593,2.00E-04
neidL2_20210207T163901.fits,2/7/21 16:39,2459253.189,-0.6599,2.00E-04
neidL2_20210207T163727.fits,2/7/21 16:37,2459253.188,-0.6581,2.00E-04
neidL2_20210207T163554.fits,2/7/21 16:35,2459253.187,-0.6596,2.00E-04
neidL2_20210207T163420.fits,2/7/21 16:34,2459253.186,-0.6598,2.00E-04
neidL2_20210207T163247.fits,2/7/21 16:32,2459253.185,-0.6583,2.00E-04
