date_obs,co_lat,area
2015-07-20T09:43:24.70,2.585,13
2015-07-20T09:43:24.70,2.57,4
2015-07-20T09:43:24.70,2.565,4
2015-07-20T09:43:24.70,2.599,8
2015-07-20T09:43:24.70,2.597,81
2015-07-20T09:43:24.70,2.6,8
2015-07-20T09:43:24.70,2.6,4
2015-07-20T09:43:24.70,2.595,7
2015-07-20T09:43:24.70,2.59,4
2015-07-20T09:43:24.70,2.571,4
2015-07-20T09:43:24.70,2.584,16
2015-07-20T09:43:24.70,2.584,24
2015-07-20T09:43:24.70,2.588,5
2015-07-20T09:43:24.70,2.598,7
2015-07-20T09:43:24.70,2.599,11
2015-07-20T09:43:24.70,2.588,5
2015-07-20T09:43:24.70,2.595,33
2015-07-20T09:43:24.70,2.595,10
2015-07-20T09:43:24.70,2.586,7
2015-07-20T09:43:24.70,2.59,15
2015-07-20T09:43:24.70,2.597,21
2015-07-20T09:43:24.70,2.598,5
2015-07-20T09:43:24.70,2.598,4
2015-07-20T09:43:24.70,2.56,6
2015-07-20T09:43:24.70,2.57,4
2015-07-20T09:43:24.70,2.592,10
2015-07-20T09:43:24.70,2.593,4
2015-07-20T09:43:24.70,2.595,5
2015-07-20T09:43:24.70,2.591,5
2015-07-20T09:43:24.70,2.585,44
2015-07-20T09:43:24.70,2.58,7
2015-07-20T09:43:24.70,2.59,77
2015-07-20T09:43:24.70,2.593,12
2015-07-20T09:43:24.70,2.591,61
2015-07-20T09:43:24.70,2.556,4
2015-07-20T09:43:24.70,2.557,9
2015-07-20T09:43:24.70,2.592,29
2015-07-20T09:43:24.70,2.58,11
2015-07-20T09:43:24.70,2.584,4
2015-07-20T09:43:24.70,2.587,7
2015-07-20T09:43:24.70,2.588,4
2015-07-20T09:43:24.70,2.586,4
2015-07-20T09:43:24.70,2.564,4
2015-07-20T09:43:24.70,2.569,4
2015-07-20T09:43:24.70,2.592,5
2015-07-20T09:43:24.70,2.586,6
2015-07-20T09:43:24.70,2.593,4
2015-07-20T09:43:24.70,2.549,4
2015-07-20T09:43:24.70,2.591,7
2015-07-20T09:43:24.70,2.59,13
2015-07-20T09:43:24.70,2.591,6
2015-07-20T09:43:24.70,2.565,7
2015-07-20T09:43:24.70,2.576,5
2015-07-20T09:43:24.70,2.588,26
2015-07-20T09:43:24.70,2.554,5
2015-07-20T09:43:24.70,2.545,4
2015-07-20T09:43:24.70,2.587,7
2015-07-20T09:43:24.70,2.585,5
2015-07-20T09:43:24.70,2.578,7
2015-07-20T09:43:24.70,2.576,7
2015-07-20T09:43:24.70,2.586,7
2015-07-20T09:43:24.70,2.587,5
2015-07-20T09:43:24.70,2.571,5
2015-07-20T09:43:24.70,2.584,4
2015-07-20T09:43:24.70,2.586,5
2015-07-20T09:43:24.70,2.576,5
2015-07-20T09:43:24.70,2.542,4
2015-07-20T09:43:24.70,2.58,6
2015-07-20T09:43:24.70,2.587,5
2015-07-20T09:43:24.70,2.586,12
2015-07-20T09:43:24.70,2.57,5
2015-07-20T09:43:24.70,2.554,5
2015-07-20T09:43:24.70,2.57,5
2015-07-20T09:43:24.70,2.583,8
2015-07-20T09:43:24.70,2.584,4
2015-07-20T09:43:24.70,2.587,6
2015-07-20T09:43:24.70,2.559,4
2015-07-20T09:43:24.70,2.572,16
2015-07-20T09:43:24.70,2.583,6
2015-07-20T09:43:24.70,2.577,5
2015-07-20T09:43:24.70,2.584,7
2015-07-20T09:43:24.70,2.55,4
2015-07-20T09:43:24.70,2.546,6
2015-07-20T09:43:24.70,2.562,5
2015-07-20T09:43:24.70,2.579,7
2015-07-20T09:43:24.70,2.54,4
2015-07-20T09:43:24.70,2.582,4
2015-07-20T09:43:24.70,2.568,10
2015-07-20T09:43:24.70,2.54,4
2015-07-20T09:43:24.70,2.567,25
2015-07-20T09:43:24.70,2.58,7
2015-07-20T09:43:24.70,2.582,5
