date,time,date_jd,ccfrvmod,dvrms
7/7/21,18:33:09,2459403.268,-0.6745,2.00E-04
7/7/21,18:31:35,2459403.267,-0.6746,2.00E-04
7/7/21,18:30:02,2459403.266,-0.6735,2.00E-04
7/7/21,18:28:28,2459403.265,-0.6744,2.00E-04
7/7/21,18:26:54,2459403.264,-0.6747,2.00E-04
7/7/21,18:25:22,2459403.263,-0.6732,2.00E-04
7/7/21,18:23:48,2459403.262,-0.6744,2.00E-04
7/7/21,18:22:15,2459403.261,-0.6752,2.00E-04
7/7/21,18:20:42,2459403.26,-0.6735,2.00E-04
7/7/21,18:19:09,2459403.259,-0.6733,2.00E-04
7/7/21,18:17:35,2459403.257,-0.6742,2.00E-04
7/7/21,18:16:02,2459403.256,-0.6736,2.00E-04
7/7/21,18:14:29,2459403.255,-0.6739,2.00E-04
7/7/21,18:12:56,2459403.254,-0.6747,2.00E-04
7/7/21,18:11:23,2459403.253,-0.6734,2.00E-04
7/7/21,18:09:50,2459403.252,-0.673,2.00E-04
7/7/21,18:08:17,2459403.251,-0.673,2.00E-04
7/6/21,19:32:10,2459402.309,-0.6771,2.00E-04
7/6/21,19:30:37,2459402.308,-0.6782,2.00E-04
7/6/21,19:29:04,2459402.307,-0.6762,2.00E-04
7/6/21,19:27:31,2459402.306,-0.6763,2.00E-04
7/6/21,19:25:58,2459402.305,-0.6779,2.00E-04
7/6/21,19:24:24,2459402.304,-0.6774,2.00E-04
7/6/21,19:22:51,2459402.303,-0.6762,2.00E-04
7/6/21,19:21:18,2459402.302,-0.6761,2.00E-04
7/6/21,19:19:44,2459402.301,-0.6768,2.00E-04
7/6/21,19:18:12,2459402.3,-0.6767,2.00E-04
7/6/21,19:16:38,2459402.298,-0.6766,2.00E-04
7/6/21,19:15:05,2459402.297,-0.6766,2.00E-04
7/6/21,19:13:32,2459402.296,-0.6755,2.00E-04
7/6/21,19:11:58,2459402.295,-0.6774,2.00E-04
7/6/21,19:10:25,2459402.294,-0.6777,2.00E-04
7/6/21,19:08:51,2459402.293,-0.6755,2.00E-04
7/6/21,19:07:18,2459402.292,-0.6751,2.00E-04
7/6/21,19:05:45,2459402.291,-0.6766,2.00E-04
7/6/21,19:04:11,2459402.29,-0.6767,2.00E-04
7/6/21,19:02:38,2459402.289,-0.6761,2.00E-04
7/6/21,19:01:05,2459402.288,-0.674,2.00E-04
7/6/21,18:59:32,2459402.287,-0.6748,2.00E-04
7/6/21,18:53:34,2459402.282,-0.6758,2.00E-04
7/6/21,18:52:01,2459402.281,-0.6772,2.00E-04
7/6/21,18:50:27,2459402.28,-0.6737,2.00E-04
7/6/21,18:48:53,2459402.279,-0.6745,2.00E-04
7/6/21,18:47:20,2459402.278,-0.6728,3.00E-04
7/6/21,18:45:47,2459402.277,-0.6767,2.00E-04
7/6/21,18:44:14,2459402.276,-0.6749,2.00E-04
7/6/21,18:42:40,2459402.275,-0.6745,2.00E-04
7/6/21,18:41:07,2459402.274,-0.6832,3.00E-04
7/6/21,18:39:33,2459402.273,-0.6769,4.00E-04
7/6/21,18:38:00,2459402.272,-0.677,4.00E-04
7/6/21,18:36:27,2459402.271,-0.6718,5.00E-04
7/6/21,18:34:55,2459402.27,-0.6787,6.00E-04
7/6/21,18:33:21,2459402.268,-0.6821,6.00E-04
7/6/21,18:31:47,2459402.267,-0.6866,5.00E-04
7/6/21,18:30:14,2459402.266,-0.6937,9.00E-04
7/6/21,18:28:40,2459402.265,-0.7084,0.0014
7/6/21,18:27:07,2459402.264,-0.6746,0.0017
7/6/21,18:25:33,2459402.263,-0.6674,0.001
7/6/21,18:24:00,2459402.262,-0.6687,0.001
7/6/21,18:22:27,2459402.261,-0.6909,0.0016
7/6/21,18:20:54,2459402.26,-0.7046,0.0024
7/6/21,18:19:20,2459402.259,-0.6775,0.0031
7/6/21,18:17:47,2459402.258,-0.6827,0.0015
7/6/21,18:16:13,2459402.257,-0.6965,0.0011
7/6/21,18:14:40,2459402.255,-0.6575,0.0014
7/6/21,18:13:07,2459402.254,-0.6579,0.001
7/6/21,18:11:34,2459402.253,-0.6735,8.00E-04
7/6/21,18:10:00,2459402.252,-0.648,0.001
7/6/21,18:08:26,2459402.251,-0.6959,0.0013
7/6/21,18:06:53,2459402.25,-0.6625,8.00E-04
7/5/21,19:32:12,2459401.309,-0.7188,0.0116
7/5/21,19:30:39,2459401.308,-0.6956,9.00E-04
7/5/21,19:29:06,2459401.307,-0.6749,2.00E-04
7/5/21,19:24:37,2459401.304,-0.7321,0.004
7/5/21,19:23:04,2459401.303,-0.6393,4.00E-04
7/5/21,19:21:31,2459401.302,-0.6848,3.00E-04
7/5/21,19:19:58,2459401.301,-0.6785,0.0024
7/5/21,19:18:24,2459401.3,-0.6606,4.00E-04
7/5/21,19:16:51,2459401.299,-0.6518,4.00E-04
7/5/21,19:15:17,2459401.298,-0.6737,2.00E-04
7/5/21,19:13:44,2459401.296,-0.6757,2.00E-04
7/5/21,19:12:11,2459401.295,-0.6748,2.00E-04
7/5/21,19:10:37,2459401.294,-0.6706,3.00E-04
7/5/21,19:09:04,2459401.293,-0.6788,4.00E-04
7/5/21,19:07:31,2459401.292,-0.6661,5.00E-04
7/5/21,19:05:58,2459401.291,-0.664,5.00E-04
7/5/21,19:04:24,2459401.29,-0.6742,4.00E-04
7/5/21,19:02:52,2459401.289,-0.6811,4.00E-04
7/5/21,19:01:19,2459401.288,-0.6449,7.00E-04
7/5/21,18:59:46,2459401.287,-0.6756,0.001
7/5/21,18:58:13,2459401.286,-0.6752,6.00E-04
7/5/21,18:56:40,2459401.285,-0.6255,6.00E-04
7/5/21,18:55:06,2459401.283,-0.6841,6.00E-04
7/5/21,18:53:33,2459401.283,-0.6925,0.0026
7/5/21,18:51:59,2459401.281,-0.6148,0.0016
7/5/21,18:50:26,2459401.28,-0.7041,0.0132
7/5/21,18:48:53,2459401.279,-0.6727,0.0011
7/5/21,18:47:20,2459401.278,-0.6658,0.001
7/5/21,18:45:47,2459401.277,-0.675,3.00E-04
7/5/21,18:44:13,2459401.276,-0.6793,3.00E-04
7/5/21,18:42:40,2459401.275,-0.6723,2.00E-04
7/5/21,18:41:07,2459401.274,-0.6851,3.00E-04
7/5/21,18:39:34,2459401.273,-0.6376,5.00E-04
7/5/21,18:38:00,2459401.272,-0.7303,6.00E-04
7/5/21,18:36:27,2459401.271,-0.6809,7.00E-04
7/5/21,18:34:54,2459401.269,-0.6691,4.00E-04
7/5/21,18:33:20,2459401.268,-0.6652,0.0016
7/5/21,18:31:47,2459401.267,-0.6851,0.0017
7/5/21,18:30:14,2459401.266,-0.6649,4.00E-04
7/5/21,18:28:40,2459401.265,-0.6689,0.0092
7/5/21,18:27:07,2459401.264,-0.6485,4.00E-04
7/5/21,18:25:34,2459401.263,-0.674,3.00E-04
7/5/21,18:24:01,2459401.262,-0.672,3.00E-04
7/5/21,18:22:28,2459401.261,-0.6751,3.00E-04
7/5/21,18:20:54,2459401.26,-0.684,3.00E-04
7/5/21,18:19:21,2459401.259,-0.6372,3.00E-04
7/5/21,18:17:48,2459401.258,-0.6314,3.00E-04
7/5/21,18:16:14,2459401.256,-0.6896,5.00E-04
7/5/21,18:14:41,2459401.255,-0.6596,0.001
7/5/21,18:13:08,2459401.254,-0.6961,0.0019
7/5/21,18:11:35,2459401.253,-0.631,0.0022
7/5/21,18:10:01,2459401.252,-0.6463,0.0013
7/5/21,18:08:28,2459401.251,-0.6128,6.00E-04
7/5/21,18:06:55,2459401.25,-0.6724,6.00E-04
7/4/21,19:32:37,2459400.31,-0.6118,0.001
7/1/21,19:32:08,2459397.309,-0.7542,0.0187
7/1/21,19:30:35,2459397.308,-0.6384,0.0191
7/1/21,19:29:02,2459397.307,-0.5431,0.0194
7/1/21,19:27:28,2459397.306,-0.6435,0.0177
7/1/21,19:25:55,2459397.305,-0.6903,0.0182
7/1/21,19:24:22,2459397.304,-0.7296,0.0175
7/1/21,19:22:48,2459397.303,-0.6434,0.0166
7/1/21,19:21:15,2459397.302,-0.6541,0.0186
7/1/21,19:19:41,2459397.301,-0.7379,0.0187
7/1/21,19:18:08,2459397.3,-0.8347,0.0209
7/1/21,19:16:34,2459397.298,-0.626,0.0192
7/1/21,19:15:00,2459397.297,-0.6953,0.0157
7/1/21,19:13:27,2459397.296,-0.6381,0.0123
7/1/21,19:10:07,2459397.294,-0.6573,3.00E-04
7/1/21,19:08:33,2459397.293,-0.665,0.0133
7/1/21,19:07:00,2459397.292,-0.6385,0.0171
7/1/21,19:05:26,2459397.291,-0.6889,0.0177
7/1/21,19:03:53,2459397.29,-0.5763,0.0186
7/1/21,19:02:19,2459397.289,-0.6435,0.0192
7/1/21,19:00:45,2459397.287,-0.5517,0.017
7/1/21,18:59:11,2459397.286,-0.6443,0.0139
7/1/21,18:57:37,2459397.285,-0.6435,0.0134
7/1/21,18:56:04,2459397.284,-0.5847,0.0072
7/1/21,18:54:30,2459397.283,-0.6625,0.0101
7/1/21,18:52:57,2459397.282,-0.6431,0.0072
7/1/21,18:51:23,2459397.281,-0.6241,0.01
7/1/21,18:49:50,2459397.28,-0.7309,0.003
7/1/21,18:48:17,2459397.279,-0.6161,0.0119
7/1/21,18:46:44,2459397.278,-0.6778,0.0194
7/1/21,18:45:10,2459397.277,-0.7969,0.0198
7/1/21,18:43:37,2459397.276,-0.6533,0.0171
7/1/21,18:42:04,2459397.274,-0.677,0.0144
7/1/21,18:40:30,2459397.273,-0.6316,0.0113
7/1/21,18:38:56,2459397.272,-0.6249,0.0042
7/1/21,18:37:23,2459397.271,-0.6246,3.00E-04
7/1/21,18:35:49,2459397.27,-0.6931,4.00E-04
7/1/21,18:34:16,2459397.269,-0.6112,5.00E-04
7/1/21,18:32:43,2459397.268,-0.6177,9.00E-04
7/1/21,18:31:09,2459397.267,-0.784,0.0019
7/1/21,18:29:36,2459397.266,-0.6135,0.0187
7/1/21,18:28:02,2459397.265,-0.611,0.0182
7/1/21,18:26:29,2459397.264,-0.7035,0.0185
7/1/21,18:24:56,2459397.263,-0.642,0.0157
7/1/21,18:23:23,2459397.261,-0.6346,0.0123
7/1/21,18:21:50,2459397.261,-0.6758,0.0073
7/1/21,18:20:17,2459397.259,-0.6116,0.0173
7/1/21,18:18:43,2459397.258,-0.6612,0.0155
7/1/21,18:17:10,2459397.257,-0.6111,0.013
7/1/21,18:15:37,2459397.256,-0.6284,0.0044
7/1/21,18:14:03,2459397.255,-0.639,5.00E-04
7/1/21,18:12:30,2459397.254,-0.644,0.014
7/1/21,18:10:56,2459397.253,-0.6876,0.0036
7/1/21,18:09:23,2459397.251,-0.5997,0.0012
7/1/21,18:07:49,2459397.251,-0.6387,4.00E-04
6/30/21,18:57:52,2459396.285,-0.6373,2.00E-04
6/30/21,18:56:19,2459396.284,-0.6398,2.00E-04
6/30/21,18:54:45,2459396.283,-0.6399,2.00E-04
6/30/21,18:53:12,2459396.282,-0.6371,2.00E-04
6/30/21,18:51:39,2459396.281,-0.6389,2.00E-04
6/30/21,18:50:05,2459396.28,-0.6398,2.00E-04
6/30/21,18:48:31,2459396.279,-0.6371,2.00E-04
6/30/21,18:46:58,2459396.278,-0.6374,2.00E-04
6/30/21,18:45:24,2459396.277,-0.6399,2.00E-04
6/30/21,18:43:51,2459396.276,-0.6379,2.00E-04
6/30/21,18:42:18,2459396.275,-0.6369,2.00E-04
6/30/21,18:40:44,2459396.274,-0.6396,2.00E-04
6/30/21,18:39:11,2459396.272,-0.6401,2.00E-04
6/30/21,18:37:38,2459396.271,-0.6377,2.00E-04
6/30/21,18:36:04,2459396.27,-0.6389,2.00E-04
6/30/21,18:34:31,2459396.269,-0.6409,2.00E-04
6/30/21,18:32:58,2459396.268,-0.639,2.00E-04
6/30/21,18:31:25,2459396.267,-0.6402,2.00E-04
6/30/21,18:29:52,2459396.266,-0.6398,2.00E-04
6/30/21,18:28:18,2459396.265,-0.6481,3.00E-04
6/30/21,18:26:45,2459396.264,-0.6404,2.00E-04
6/30/21,18:25:12,2459396.263,-0.6389,2.00E-04
6/30/21,18:23:38,2459396.262,-0.6371,2.00E-04
6/30/21,18:22:05,2459396.261,-0.6387,2.00E-04
6/30/21,18:20:31,2459396.26,-0.6394,2.00E-04
6/30/21,18:18:57,2459396.258,-0.6389,2.00E-04
6/30/21,18:17:24,2459396.257,-0.6374,2.00E-04
6/30/21,18:15:51,2459396.256,-0.6387,2.00E-04
6/30/21,18:14:18,2459396.255,-0.6395,2.00E-04
6/30/21,18:12:45,2459396.254,-0.6376,2.00E-04
6/30/21,18:11:11,2459396.253,-0.6362,2.00E-04
6/30/21,18:09:37,2459396.252,-0.6394,2.00E-04
6/30/21,18:08:04,2459396.251,-0.6389,2.00E-04
6/29/21,19:32:03,2459395.309,-0.6395,3.00E-04
6/29/21,19:30:29,2459395.308,-0.6386,2.00E-04
6/29/21,19:28:56,2459395.307,-0.6391,3.00E-04
6/29/21,19:27:23,2459395.306,-0.6398,3.00E-04
6/29/21,19:25:50,2459395.305,-0.6388,3.00E-04
6/29/21,19:24:16,2459395.304,-0.6374,2.00E-04
6/29/21,19:22:43,2459395.303,-0.6397,3.00E-04
6/29/21,19:21:09,2459395.302,-0.6436,3.00E-04
6/29/21,19:19:35,2459395.301,-0.6346,3.00E-04
6/29/21,19:18:02,2459395.299,-0.6531,3.00E-04
6/29/21,19:16:28,2459395.298,-0.6421,3.00E-04
6/29/21,19:14:55,2459395.297,-0.6001,0.0024
6/29/21,19:13:21,2459395.296,-0.5636,4.00E-04
6/29/21,19:11:49,2459395.295,-0.6402,2.00E-04
6/29/21,19:10:15,2459395.294,-0.6377,2.00E-04
6/29/21,19:08:41,2459395.293,-0.6367,2.00E-04
6/29/21,19:07:08,2459395.292,-0.64,2.00E-04
6/29/21,19:05:34,2459395.291,-0.6397,2.00E-04
6/29/21,19:04:00,2459395.29,-0.6357,2.00E-04
6/29/21,18:59:20,2459395.286,-0.6367,2.00E-04
6/29/21,18:57:46,2459395.285,-0.569,0.0013
6/29/21,18:56:13,2459395.284,-0.6431,2.00E-04
6/29/21,18:54:39,2459395.283,-0.6404,2.00E-04
6/29/21,18:53:06,2459395.282,-0.639,2.00E-04
6/29/21,18:51:32,2459395.281,-0.6393,3.00E-04
6/29/21,18:49:58,2459395.28,-0.63,4.00E-04
6/29/21,18:48:24,2459395.279,-0.5397,6.00E-04
6/29/21,18:46:51,2459395.278,-0.6441,0.0038
6/29/21,18:45:18,2459395.277,-0.6119,0.0131
6/29/21,18:43:44,2459395.276,-0.6422,3.00E-04
6/29/21,18:42:10,2459395.275,-0.6396,2.00E-04
6/29/21,18:40:37,2459395.273,-0.6387,2.00E-04
6/29/21,18:39:04,2459395.272,-0.6383,2.00E-04
6/29/21,18:37:31,2459395.271,-0.6376,2.00E-04
6/29/21,18:35:57,2459395.27,-0.6435,3.00E-04
6/29/21,18:34:24,2459395.269,-0.6248,0.0097
6/29/21,18:32:50,2459395.268,-0.6095,0.0137
6/29/21,18:31:16,2459395.267,-0.7317,0.0022
6/29/21,18:29:42,2459395.266,-0.7361,0.0036
6/29/21,18:28:08,2459395.265,-0.7154,0.0021
6/29/21,18:26:34,2459395.264,-0.6605,3.00E-04
6/29/21,18:25:01,2459395.263,-0.6482,7.00E-04
6/29/21,18:23:27,2459395.261,-0.5911,0.0014
6/29/21,18:21:54,2459395.26,-0.6532,3.00E-04
6/29/21,18:20:20,2459395.259,-0.6121,3.00E-04
6/29/21,18:18:47,2459395.259,-0.788,0.0011
6/29/21,18:17:13,2459395.257,-0.6027,0.0068
6/29/21,18:15:40,2459395.256,-0.7195,9.00E-04
6/29/21,18:14:06,2459395.255,-0.7289,0.0017
6/29/21,18:12:33,2459395.254,-0.6674,3.00E-04
6/29/21,18:10:59,2459395.253,-0.637,3.00E-04
6/29/21,18:09:26,2459395.252,-0.5807,5.00E-04
