filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210607T191931.fits,6/7/21 19:19,54.739593,80.7761,0,2459373.3,-0.6454,4.00E-04
neidL2_20210606T192540.fits,6/6/21 19:25,54.809612,80.7731,0,2459372.305,-0.6386,2.00E-04
neidL2_20210606T192407.fits,6/6/21 19:24,54.702224,80.7706,0,2459372.304,-0.6397,2.00E-04
neidL2_20210606T192234.fits,6/6/21 19:22,54.817414,80.7552,0,2459372.303,-0.6385,2.00E-04
neidL2_20210606T192101.fits,6/6/21 19:21,54.757624,80.7272,0,2459372.302,-0.6376,2.00E-04
neidL2_20210606T191927.fits,6/6/21 19:19,54.819337,80.6863,0,2459372.3,-0.6394,2.00E-04
neidL2_20210605T192524.fits,6/5/21 19:25,54.816615,80.6722,0,2459371.305,-0.6388,2.00E-04
neidL2_20210605T192351.fits,6/5/21 19:23,54.778406,80.669,0,2459371.303,-0.6398,2.00E-04
neidL2_20210605T192218.fits,6/5/21 19:22,54.808793,80.6532,0,2459371.302,-0.6393,2.00E-04
neidL2_20210605T192045.fits,6/5/21 19:20,54.826461,80.6247,0,2459371.301,-0.6395,2.00E-04
neidL2_20210605T191911.fits,6/5/21 19:19,54.805734,80.5837,0,2459371.3,-0.6389,2.00E-04
neidL2_20210604T192516.fits,6/4/21 19:25,54.814724,80.5643,0,2459370.304,-0.6684,0.0011
neidL2_20210604T192343.fits,6/4/21 19:23,54.754326,80.5616,0,2459370.303,-0.6265,3.00E-04
neidL2_20210604T192210.fits,6/4/21 19:22,54.771706,80.5463,0,2459370.302,-0.6394,3.00E-04
neidL2_20210604T192036.fits,6/4/21 19:20,54.772478,80.5184,0,2459370.301,-0.6483,2.00E-04
neidL2_20210604T191903.fits,6/4/21 19:19,54.820443,80.4781,0,2459370.3,-0.7294,3.00E-04
neidL2_20210603T192438.fits,6/3/21 19:24,54.788267,80.4505,0,2459369.304,-0.641,2.00E-04
neidL2_20210603T192305.fits,6/3/21 19:23,54.838797,80.4441,0,2459369.303,-0.6401,2.00E-04
neidL2_20210603T192131.fits,6/3/21 19:21,54.78627,80.4252,0,2459369.302,-0.6415,2.00E-04
neidL2_20210603T191957.fits,6/3/21 19:19,54.81952,80.3936,0,2459369.301,-0.6413,2.00E-04
neidL2_20210602T192520.fits,6/2/21 19:25,54.748637,80.3279,0,2459368.305,-0.6405,2.00E-04
neidL2_20210602T192347.fits,6/2/21 19:23,54.832295,80.3284,0,2459368.303,-0.6392,2.00E-04
neidL2_20210602T192213.fits,6/2/21 19:22,54.812988,80.3166,0,2459368.302,-0.6398,2.00E-04
neidL2_20210602T192040.fits,6/2/21 19:20,54.817208,80.2924,0,2459368.301,-0.6413,2.00E-04
neidL2_20210602T191906.fits,6/2/21 19:19,54.753478,80.2559,0,2459368.3,-0.6403,2.00E-04
neidL2_20210601T192429.fits,6/1/21 19:24,54.862724,80.2023,0,2459367.304,-0.6417,2.00E-04
neidL2_20210601T192256.fits,6/1/21 19:22,54.809389,80.1974,0,2459367.303,-0.6409,2.00E-04
neidL2_20210601T192123.fits,6/1/21 19:21,54.859714,80.1804,0,2459367.302,-0.6404,2.00E-04
neidL2_20210601T191949.fits,6/1/21 19:19,54.844531,80.1512,0,2459367.301,-0.6408,2.00E-04
neidL2_20210531T192501.fits,5/31/21 19:25,54.810733,80.0669,0,2459366.304,-0.6399,2.00E-04
neidL2_20210531T192328.fits,5/31/21 19:23,54.792042,80.0674,0,2459366.303,-0.64,2.00E-04
neidL2_20210531T192154.fits,5/31/21 19:21,54.882078,80.0558,0,2459366.302,-0.6414,2.00E-04
neidL2_20210531T192021.fits,5/31/21 19:20,54.761634,80.0321,0,2459366.301,-0.6407,2.00E-04
neidL2_20210530T192537.fits,5/30/21 19:25,54.831608,79.9225,0,2459365.305,-0.6418,2.00E-04
neidL2_20210530T192404.fits,5/30/21 19:24,54.85167,79.9286,0,2459365.304,-0.6425,2.00E-04
neidL2_20210530T192230.fits,5/30/21 19:22,54.852154,79.9228,0,2459365.303,-0.6439,2.00E-04
neidL2_20210530T192057.fits,5/30/21 19:20,54.815947,79.9051,0,2459365.301,-0.6433,2.00E-04
neidL2_20210530T191923.fits,5/30/21 19:19,54.832145,79.8756,0,2459365.3,-0.6425,2.00E-04
neidL2_20210529T192537.fits,5/29/21 19:25,54.851093,79.775,0,2459364.305,-0.6401,2.00E-04
neidL2_20210529T192403.fits,5/29/21 19:24,54.801018,79.7821,0,2459364.304,-0.6408,2.00E-04
neidL2_20210529T192230.fits,5/29/21 19:22,54.851005,79.7774,0,2459364.303,-0.6387,2.00E-04
neidL2_20210529T192057.fits,5/29/21 19:20,54.790964,79.7611,0,2459364.301,-0.6403,2.00E-04
neidL2_20210529T191924.fits,5/29/21 19:19,54.822388,79.733,0,2459364.3,-0.6424,2.00E-04
neidL2_20210528T192509.fits,5/28/21 19:25,54.725366,79.6249,0,2459363.304,-0.64,2.00E-04
neidL2_20210528T192335.fits,5/28/21 19:23,54.797678,79.6293,0,2459363.303,-0.64,2.00E-04
neidL2_20210528T192202.fits,5/28/21 19:22,54.730251,79.6223,0,2459363.302,-0.6407,2.00E-04
neidL2_20210528T192029.fits,5/28/21 19:20,54.828562,79.6037,0,2459363.301,-0.6403,2.00E-04
neidL2_20210528T191856.fits,5/28/21 19:18,54.743952,79.5738,0,2459363.3,-0.6394,2.00E-04
neidL2_20210527T192503.fits,5/27/21 19:25,54.747075,79.4658,0,2459362.304,-0.6384,2.00E-04
neidL2_20210527T192329.fits,5/27/21 19:23,54.843415,79.4704,0,2459362.303,-0.6406,2.00E-04
neidL2_20210527T192156.fits,5/27/21 19:21,54.766851,79.4636,0,2459362.302,-0.6398,2.00E-04
neidL2_20210527T192023.fits,5/27/21 19:20,54.82016,79.4454,0,2459362.301,-0.6385,2.00E-04
neidL2_20210527T191850.fits,5/27/21 19:18,54.761946,79.4161,0,2459362.3,-0.6389,2.00E-04
neidL2_20210526T192554.fits,5/26/21 19:25,54.821061,79.2923,0,2459361.305,-0.639,2.00E-04
neidL2_20210526T192421.fits,5/26/21 19:24,54.730317,79.3038,0,2459361.304,-0.6396,2.00E-04
neidL2_20210526T192248.fits,5/26/21 19:22,54.819488,79.3041,0,2459361.303,-0.6399,2.00E-04
neidL2_20210526T192114.fits,5/26/21 19:21,54.756797,79.2932,0,2459361.302,-0.6388,2.00E-04
neidL2_20210526T191941.fits,5/26/21 19:19,54.823841,79.2712,0,2459361.301,-0.6389,2.00E-04
